16384, 46
16512, 49
16640, 53
16768, 57
16896, 61
17024, 65
17152, 69
17280, 73
17408, 76
17536, 80
17664, 84
17792, 88
17920, 92
18048, 98
18176, 105
18304, 109
18432, 113
18560, 116
18688, 120
18816, 126
18944, 130
19072, 133
19200, 138
19328, 142
19456, 145
19584, 149
19712, 153
19840, 157
19968, 160
20096, 163
20224, 167
20352, 171
20480, 175
20608, 178
20736, 182
20864, 186
20992, 190
21120, 193
21248, 197
21376, 201
21504, 205
21632, 209
21760, 212
21888, 216
22016, 218
22144, 220
22272, 222
22400, 224
22528, 228
22656, 232
22784, 235
22912, 237
23040, 240
23168, 243
23296, 247
23424, 251
23552, 255
23680, 258
23808, 262
23936, 266
24064, 270
24192, 273
24320, 276
24448, 279
24576, 283
