131072, 136
131200, 139
131328, 141
131456, 143
131584, 145
131712, 148
131840, 150
131968, 152
132096, 154
132224, 157
132352, 159
132480, 161
132608, 163
132736, 166
132864, 167
132992, 170
133120, 172
133248, 174
133376, 176
133504, 179
133632, 181
133760, 183
133888, 186
134016, 187
134144, 190
134272, 192
134400, 195
134528, 197
134656, 199
134784, 201
134912, 204
135040, 206
135168, 209
135296, 211
135424, 213
135552, 215
135680, 217
135808, 219
135936, 222
136064, 224
136192, 226
136320, 228
136448, 231
136576, 233
136704, 235
136832, 237
136960, 240
137088, 242
137216, 245
137344, 247
137472, 249
137600, 251
137728, 254
137856, 255
137984, 256
138112, 258
138240, 259
138368, 260
138496, 263
138624, 264
138752, 267
138880, 268
139008, 272
139136, 273
139264, 277
